Date,State_Name,veg_id,veg_name,whole_price,retail_price,shop_mall_price,unit_val,Vegetable_Image
2024-05-03,Maharashtra,curryleaves,Curry Leaves,29,33 - 37,35 - 48,1kg,resource/images/vegetables/curryleaves-64.png
2024-05-03,Maharashtra,dillleaves,Dill Leaves,14,16 - 18,17 - 23,1kg,resource/images/vegetables/dillleaves-64.png
2024-05-03,Maharashtra,drumsticks,Drumsticks,40,46 - 51,48 - 66,1kg,resource/images/vegetables/drumsticks-64.png
2024-05-03,Maharashtra,brinjal,Brinjal,22,25 - 28,26 - 36,1kg,resource/images/vegetables/brinjal-64.png
2024-05-03,Maharashtra,brinjalbig,Brinjal (Big),25,29 - 32,30 - 41,1kg,resource/images/vegetables/brinjalbig-64.png
2024-05-03,Maharashtra,elephantyam,Elephant Yam,26,30 - 33,31 - 43,1kg,resource/images/vegetables/elephantyam-64.png
2024-05-03,Maharashtra,fenugreekleaves,Fenugreek Leaves,10,12 - 13,12 - 17,1kg,resource/images/vegetables/fenugreekleaves-64.png
2024-05-03,Maharashtra,frenchbeans,French Beans,55,63 - 70,66 - 91,1kg,resource/images/vegetables/frenchbeans-64.png
2024-05-03,Maharashtra,garlic,Garlic,159,183 - 202,191 - 262,1kg,resource/images/vegetables/garlic-64.png
2024-05-03,Maharashtra,ginger,Ginger,111,128 - 141,133 - 183,1kg,resource/images/vegetables/ginger-64.png
2024-05-03,Maharashtra,oniongreen,Onion Green,43,49 - 55,52 - 71,1kg,resource/images/vegetables/oniongreen-64.png
2024-05-03,Maharashtra,greenpeas,Green Peas,43,49 - 55,52 - 71,1kg,resource/images/vegetables/greenpeas-64.png
2024-05-03,Maharashtra,ivygourd,Ivy Gourd,23,26 - 29,28 - 38,1kg,resource/images/vegetables/ivygourd-64.png
2024-05-03,Maharashtra,lemon,Lemon (Lime),71,82 - 90,85 - 117,1kg,resource/images/vegetables/lemon-64.png
2024-05-03,Maharashtra,mangoraw,Mango Raw,26,30 - 33,31 - 43,1kg,resource/images/vegetables/mangoraw-64.png
2024-05-03,Maharashtra,mintleaves,Mint Leaves,4,5 - 5,5 - 7,1kg,resource/images/vegetables/mintleaves-64.png
2024-05-03,Maharashtra,mushroom,Mushroom,87,100 - 110,104 - 144,1kg,resource/images/vegetables/mushroom-64.png
2024-05-03,Maharashtra,mustardleaves,Mustard Leaves,13,15 - 17,16 - 21,1kg,resource/images/vegetables/mustardleaves-64.png
2024-05-03,Maharashtra,ladiesfinger,Ladies Finger,40,46 - 51,48 - 66,1kg,resource/images/vegetables/ladiesfinger-64.png
2024-05-03,Maharashtra,pumpkin,Pumpkin,17,20 - 22,20 - 28,1kg,resource/images/vegetables/pumpkin-64.png
2024-05-03,Maharashtra,radish,Radish,27,31 - 34,32 - 45,1kg,resource/images/vegetables/radish-64.png
2024-05-03,Maharashtra,ridgegourd,Ridge Gourd,32,37 - 41,38 - 53,1kg,resource/images/vegetables/ridgegourd-64.png
2024-05-03,Maharashtra,shallot,Shallot (Pearl Onion),29,33 - 37,35 - 48,1kg,resource/images/vegetables/shallot-64.png
2024-05-03,Maharashtra,snakegourd,Snake Gourd,22,25 - 28,26 - 36,1kg,resource/images/vegetables/snakegourd-64.png
2024-05-03,Maharashtra,sorrelleaves,Sorrel Leaves,13,15 - 17,16 - 21,1kg,resource/images/vegetables/sorrelleaves-64.png
